City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
399,villa carlos paz,44,AR,1525289519,84,-31.42,-64.5,70.41,2.71
400,prachuap khiri khan,68,TH,1525289519,96,11.81,99.79,74.1,1.59
401,bambous virieux,0,MU,1525289101,75,-20.34,57.76,76.04,13.02
402,kattivakkam,24,IN,1525289520,91,13.22,80.32,85.26,10.65
403,koumac,0,NC,1525289520,86,-20.56,164.28,71.58,7.96
404,marsaxlokk,68,MT,1525289521,100,35.84,14.54,61.32,31.56
405,kushima,32,JP,1525289522,100,31.5,131.29,58.89,15.01
406,palora,64,EC,1525289523,98,-1.7,-77.97,66.81,2.93
407,butembo,24,CD,1525289523,96,0.12,29.29,61.68,2.59
408,isangel,76,VU,1525289524,100,-19.55,169.27,76.17,11.77
409,kieta,88,PG,1525289524,100,-6.22,155.63,79.23,4.16
410,viesca,0,MX,1525289524,11,25.34,-102.81,93.63,4.94
411,sulangan,76,PH,1525289524,100,11.14,123.72,79.32,2.71
412,lasa,0,CY,1525289156,89,34.92,32.53,70.73,2.28
413,reichenau,12,DE,1525289525,90,51.25,13.96,57.81,4.83
414,ancud,92,CL,1525289525,93,-41.87,-73.83,53.04,11.65
415,vila velha,80,BR,1525289525,100,-3.71,-38.6,81.3,10.54
416,challans,12,FR,1525289526,80,46.85,-1.88,52.59,18.37
417,umm lajj,0,SA,1525289526,59,25.02,37.27,82.02,11.54
418,atbasar,8,KZ,1525289526,91,51.81,68.36,35.04,3.38
419,kidal,0,ML,1525289527,13,18.44,1.41,78.24,8.75
420,batagay,20,RU,1525289527,88,67.65,134.64,37.11,5.5
421,hay river,92,CA,1525289527,98,60.82,-115.79,47.91,7.07
422,canon city,0,US,1525289528,19,39.46,-117.13,54.57,7.63
423,jitra,0,MY,1525289528,100,6.27,100.42,81.21,3.27
424,rusape,44,ZW,1525289528,86,-18.53,32.12,56.28,1.7
425,kalianget,12,ID,1525289528,100,-7.74,113.68,69.51,4.38
426,grenada,0,US,1525289529,50,33.77,-89.81,86.25,9.31
427,najran,36,SA,1525289529,30,17.54,44.22,72.84,4.16
428,itoman,68,JP,1525289529,100,26.12,127.67,72.84,21.05
429,hokitika,92,NZ,1525289529,100,-42.72,170.96,54.57,6.4
430,morant bay,88,JM,1525289530,95,17.88,-76.41,81.21,9.75
431,sungaipenuh,12,ID,1525289530,96,-2.08,101.38,64.83,1.03
432,kitgum,12,UG,1525289530,90,3.3,32.88,62.94,2.59
433,reforma,0,MX,1525289531,18,24.02,-104.65,84.9,14.67
